"timeseries_id","site","country","region","feature","pvalue_kstest_logp","kstest_statistic","fdr_corrected_pvalue_logp","ref_group","subject_count","parameter_id"
"ts_1_autogen_original","AAA","AA","A","range",0.49008623188403,0.850746268656716,0.0233163993077552,"global",1,"param1"
"ts_1_autogen_original","AAB","AA","A","range",0.0129649771643675,0.522388059701492,0,"global",1,"param1"
"ts_1_autogen_original","AAC","AA","A","range",0.418034467124463,0.575757575757576,0.0113860169040897,"global",2,"param1"
"ts_1_autogen_original","AAD","AA","A","range",1.23697978853723,0.848484848484848,0.205876287155611,"global",2,"param1"
"ts_1_autogen_original","AAE","AA","A","range",0.374419690514155,0.476923076923077,0.00330294047494355,"global",3,"param1"
"ts_1_autogen_original","AAF","AA","A","range",0.032374038718187,0.287179487179487,0,"global",3,"param1"
"ts_1_autogen_original","AAG","AA","A","range",0.977342478031476,0.787878787878787,0.147989817432977,"global",2,"param1"
"ts_1_autogen_original","ABA","AB","A","range",1.17437907503965,0.521505376344086,0.201350822382375,"global",6,"param1"
"ts_1_autogen_original","BAA","BA","B","range",0.28278431973298,0.390625,0,"global",4,"param1"
"ts_1_autogen_original","BAB","BA","B","range",1.77021181235947,0.578454332552694,0.356956266653593,"global",7,"param1"
"ts_1_autogen_original","BAC","BA","B","range",0.355387657986574,0.791044776119403,0.00186877626181424,"global",1,"param1"
"ts_1_autogen_original","BAD","BA","B","range",2.31976515885368,0.892307692307692,0.559668043613169,"global",3,"param1"
"ts_1_autogen_original","BAE","BA","B","range",0.0390729945685641,0.363636363636363,0,"global",2,"param1"
"ts_1_autogen_original","BAG","BA","B","range",0.385350881364017,0.805970149253731,0.00588205696004015,"global",1,"param1"
"ts_1_autogen_original","BBA","BB","B","range",0.151267675330649,0.656716417910448,0,"global",1,"param1"
"ts_1_autogen_original","BBC","BB","B","range",0.103731281035008,0.338461538461538,0,"global",3,"param1"
"ts_1_autogen_original","BBF","BB","B","range",0.0517725684880993,0.378787878787879,0,"global",2,"param1"
"ts_1_autogen_original","BBG","BB","B","range",0.929418925714294,0.955223880597016,0.126886729275383,"global",1,"param1"
"ts_1_autogen_original","CAA","CA","C","range",0.176672255104744,0.384615384615385,0,"global",3,"param1"
"ts_1_autogen_original","CAB","CA","C","range",0.0244546799574902,0.276923076923077,0,"global",3,"param1"
"ts_1_autogen_original","CAC","CA","C","range",0.0278728563233346,0.25,0,"global",4,"param1"
